,h0,h1,h2,h3,h4,h5,h6,h7
paradileptus,0.0004963307630228888,0.0005871080814266115,0.0008137963852967156,0.0015467005288929219,0.000909200117440545,0.0016866789717111066,0.00029123645253749023,0.0017860425285366496
pediastrum,0.00046249667768951227,0.0005163522953194654,0.0009351023438335396,0.0006681229863743294,0.0003611746167187735,0.00031927414890741025,0.00025219891140905475,0.0008428309027984904
pennate_diatom,0.00021560800745742294,0.0003122855335197826,0.011234496598378739,0.0006386662260778544,0.0006825605753840531,0.0037543781774928182,0.0016656089694908425,0.0035584926579668454
peridinium,0.002994302901638795,0.0025205989871548164,0.01298655166603926,0.009794382343873764,0.002030151815447039,0.004975151512053554,0.0008875175971578089,0.0032857692071607118
phacotus,0.0017060968740568155,0.001649159923251938,0.0036094748063519345,0.0020422522282963263,0.0022869931260097423,0.004753936069465072,0.0007105248775041591,0.0032093266519750067
plankton_x,1.2083267733061959e-05,6.271309487387159e-06,1.1816869781294756e-05,1.0334054164272939e-05,1.1631917339779407e-05,6.3832641863435776e-06,5.666441091804399e-06,9.833539341714307e-06
plankton_y,0.001282342155217198,0.0005787385089087038,0.0017700355450158956,0.0033537861559081545,0.0008334087976431534,0.0014037835542782644,0.002021072037513382,0.0007773191065794061
plankton_z,0.0015576336822996399,0.0016384657743222307,0.002959218536041563,0.000284946134720385,0.0005876416816729428,0.00324859344325752,0.0014660678366030253,0.004836513134679471
planktosphaeria,0.00014550515467340522,0.00013537157848911787,0.0001468966421842751,0.0002980350949869713,0.0002493538730546826,0.0005873271379205719,0.00033500019819814275,0.0001721768492345255
polyarthra,0.004138822315005059,0.0003472535333873597,0.0013330211870766766,0.00045059016180849245,0.0023198731478304524,0.0019038979572161333,0.0026086527291867053,0.0004035628052654909
protist_like_ciliate,0.010509322903887291,0.007545134977327963,0.022766708393089974,0.012975697873255431,0.005691265576846503,0.015197181944441612,0.004669999494525938,0.009507223766718632
rhodomonas,0.11763449190603711,0.02768392603297006,0.05082452911337534,0.11836247693342862,0.11062936605167169,0.05065496396810917,0.2026046628449726,0.041459332786237306
rotifer,0.06117429508886126,0.009327186982357683,0.02618170170601919,0.012455036188700617,0.031192665565753647,0.05730519135142194,0.026841737196164082,0.01401739806304261
rotifer_long,4.631618350565084e-05,3.46723310354871e-05,0.00011966099024138087,3.761844753514782e-05,4.441411457839457e-05,4.467141250487113e-05,1.9986892799733325e-05,5.2852945124767424e-05
rotifer_z,4.949786166500665e-05,2.6635751624554898e-05,4.2148693186328755e-05,1.9520322315191863e-05,4.993093621673825e-05,5.318352846987586e-05,8.989344733415767e-06,5.700125110889233e-05
scenedesmus,0.0008699214767916111,0.002005792361246433,0.0015823459182423322,0.0012476068393955818,0.0009310366227487854,0.0013765449612009257,0.0005769677313966122,0.004000092468512844
snowella,0.00011208779023397132,0.00043330314893898604,0.00047748496331916806,0.00017209721650291219,3.338050047522222e-05,0.00011001504445529858,2.5230127854501723e-05,6.351375972525824e-05
staurastrum,0.000984490474701441,0.0005491854641674651,0.0016042335575320416,0.0008867022509757323,0.0007005493524722848,0.00104057269014322,0.0010515511290955866,0.0017324053577886952
strombidium,0.002093134770784796,0.000772257771988147,0.0031570858022089802,0.0016537246052370676,0.0016484555802077812,0.0017694790903041986,0.0011640843608103845,0.0012468430630428002
synchaeta,0.0005559450256607344,0.00013757620792824646,0.00039517840789765087,0.00023774375053864938,0.0002039030234266194,0.0018707223131219088,0.0017826447528416474,0.00016507981921847387
synedra,0.0010048616842148774,0.0005294825955976181,0.00022788990300455424,0.0002130483510761907,0.0001850408116551219,0.0011348491543378312,0.0006053663206763517,0.00042732828116376673
synedra_angustissima,0.00016099065025723463,0.00015433709678845203,0.0007570242835866082,0.000910757601233971,0.0005148106109434037,0.0017651181020980628,0.002492541314571062,0.00039619927390383025
synura,5.34595561908426e-05,2.3002529808014667e-05,5.288663536253568e-05,6.933504053054919e-05,1.6804158637984975e-05,3.959434993357891e-05,5.669556402400592e-05,0.00019166811882964917
tetraedron,0.0012920344504097746,0.002344208083778054,0.0019340814048804437,0.0010502768613898043,0.0008754378179832858,0.0008911584461646084,0.0007117789248708158,0.0018374398395442461
tintinnid,0.0005709682972162678,0.00027184592570975554,0.0012706602711310033,0.0012231012900058074,0.0004929633950708738,0.0007168058200582118,0.0013646106862094242,0.0005426328724970176
trichocerca,0.000984523908315952,0.0008328955394439689,0.001279457951025216,0.0006947169239792639,0.0007412024964741293,0.0007466886435700476,0.00030059774592392023,0.0006568519095046272
uroglena,0.010259890594566331,0.0015070582372093968,5.1781588744949004e-05,0.0004085838443899703,0.002105932522968668,0.0005416391431250776,0.00017572806684981507,0.0045521421571592694
vorticella_epistylis_like,0.00046306104154429596,0.0005628035277700211,0.0016561932786833841,0.0018052993790932542,0.00035459793950266095,0.000798245782310164,0.0007891502341802021,0.0005284760499551943
