date,pattern
2022-06-02,110101
2022-06-03,110111
2022-06-04,110111
2022-06-05,110110
2022-06-07,110110
2022-06-08,110110
2022-06-09,110110
2022-06-10,110110
2022-06-11,110110
2022-06-12,110110
2022-06-13,110110
2022-06-14,110110
2022-06-15,110110
2022-06-16,110110
2022-06-17,110110
2022-06-18,110110
2022-06-19,110110
2022-06-20,110110
2022-06-21,110110
2022-06-22,110100
2022-06-23,110100
2022-06-24,110100
2022-06-25,110100
2022-06-27,110100
2022-06-28,110000
2022-07-02,110000
2022-07-03,110000
2022-07-04,110000
2022-07-05,110000
2022-07-06,110000
2022-07-08,110000
2022-07-09,110000
2022-07-10,110000
2022-07-11,110000
2022-07-12,110000
2022-07-13,110000
2022-07-14,110000
2022-07-15,110000
2022-07-16,110000
2022-07-17,110000
2022-07-18,110000
2022-07-20,110000
2022-07-21,110000
2022-07-22,110000
2022-07-23,110000
2022-07-24,110000
2022-07-25,110000
2022-07-26,110000
2022-07-27,110000
2022-07-28,110000
2022-07-29,110100
2022-07-30,110100
2022-07-31,110100
2022-08-01,110100
2022-08-02,110100
2022-08-03,110100
2022-08-04,110100
2022-08-05,110100
2022-08-06,110100
2022-08-07,110100
2022-08-08,110100
2022-08-09,110000
2022-08-10,110000
2022-08-11,010000
2022-08-12,010010
2022-08-13,010110
2022-08-14,010110
2022-08-15,010110
2022-08-16,010110
2022-08-17,010110
2022-08-18,010110
2022-08-19,010110
2022-08-20,010110
2022-08-21,010110
2022-08-22,010110
2022-08-23,010110
2022-08-24,010110
2022-08-25,010110
2022-08-26,010110
2022-08-27,010110
2022-08-28,010110
2022-08-29,010110
2022-08-30,010110
2022-08-31,010010
2022-09-01,010010
2022-09-02,010000
2022-09-03,010000
2022-09-04,010000
2022-09-05,010000
2022-09-06,010000
2022-09-07,010000
2022-09-08,010000
2022-09-09,010000
2022-09-10,010000
2022-09-11,010000
2022-09-12,010000
2022-09-13,010000
2022-09-14,010000
2022-09-15,010000
2022-09-16,010000
2022-09-17,010000
2022-09-18,010000
2022-09-19,010000
2022-09-20,010000
2022-09-21,010000
2022-09-22,010000
2022-09-23,010000
2022-09-24,010000
2022-09-25,010000
2022-09-26,010000
2022-09-27,010000
2022-09-28,010000
2022-09-29,010000
2022-09-30,010000
2022-11-01,101110
2022-11-02,101110
2022-11-03,101010
2022-11-04,101010
2022-11-05,101011
2022-11-06,101011
2022-11-07,101011
2022-11-08,101011
2022-11-09,101011
2022-11-10,101011
2022-11-11,101011
2022-11-12,101011
2022-11-13,101011
2022-11-14,101011
2022-11-15,101011
2022-11-16,101011
2022-11-17,101011
2022-11-18,101011
2022-11-19,101011
2022-11-20,101011
2022-11-21,101011
2022-11-22,101011
2022-11-23,101011
2022-11-24,101011
2022-11-29,101011
2022-12-01,101011
2022-12-02,101011
2022-12-03,101011
2022-12-04,101011
2022-12-05,101011
2022-12-06,101011
2022-12-07,101011
2022-12-08,101011
2022-12-09,101011
2022-12-13,101011
2022-12-14,101011
2022-12-15,101011
2022-12-16,101011
2022-12-17,101011
2022-12-18,101011
2022-12-19,101011
2022-12-20,101011
2022-12-22,101011
2022-12-23,101011
2022-12-24,101011
2022-12-25,101011
2022-12-26,101011
2022-12-27,101011
2022-12-28,101011
2022-12-29,101011
2022-12-30,101011
2022-12-31,101011
2023-01-01,101011
2023-01-02,101011
2023-01-03,101011
2023-01-04,101011
2023-01-05,101011
2023-01-06,101011
2023-01-07,101011
2023-01-08,101011
2023-01-09,101011
2023-01-10,101011
2023-01-11,101011
2023-01-12,101011
2023-01-13,101011
2023-01-14,101011
2023-01-15,101011
2023-01-16,101011
2023-01-17,101011
2023-01-18,101011
2023-01-19,101011
2023-01-20,101011
2023-01-21,101011
2023-01-22,101011
2023-01-23,101011
2023-01-24,101011
2023-01-25,101011
2023-01-26,101011
2023-01-27,101011
2023-01-28,101011
2023-01-29,101011
2023-01-30,101011
2023-01-31,101011
2023-02-01,101011
2023-02-02,101011
2023-02-03,101011
2023-02-04,101011
2023-02-05,101011
2023-02-06,101011
2023-02-07,101011
2023-02-08,101011
2023-02-11,101011
2023-02-12,101011
2023-02-13,101011
2023-02-14,101011
2023-02-15,101011
2023-02-18,101011
2023-02-19,101011
2023-02-21,101011
2023-02-22,101011
2023-02-23,101011
2023-02-24,111011
2023-02-25,101011
2023-02-26,101011
2023-02-27,101011
2023-02-28,101011
2023-03-01,101011
2023-03-02,101011
2023-03-03,101011
2023-03-04,101011
2023-03-05,101011
2023-03-06,101011
2023-03-07,101011
2023-03-08,101011
2023-03-09,101011
2023-03-10,101011
2023-03-11,101011
2023-03-12,101011
2023-03-13,101011
2023-03-14,101011
2023-03-15,101011
2023-03-16,101011
2023-03-17,101011
2023-03-18,111011
2023-03-19,111011
2023-03-20,111011
2023-03-21,111011
2023-03-22,111011
2023-03-23,111011
2023-03-24,111011
2023-03-25,101011
2023-03-26,111011
2023-03-27,101011
2023-03-28,101011
2023-03-29,111011
2023-03-30,111011
2023-03-31,111111
2023-04-04,111101
2023-04-05,111101
2023-04-06,111101
2023-04-07,111101
2023-04-08,111101
2023-04-09,111111
2023-04-10,111111
2023-04-11,111101
2023-04-12,111101
2023-04-13,111101
2023-04-14,111101
2023-04-15,111101
2023-04-16,111101
2023-04-17,111101
2023-04-18,110101
2023-04-19,110101
2023-04-20,110101
2023-04-21,110101
2023-04-22,110101
2023-04-23,110101
2023-04-24,110101
2023-04-25,110101
2023-04-26,110101
2023-04-27,110101
2023-04-28,110101
2023-04-29,110101
2023-04-30,110101
2023-05-01,110101
2023-05-02,110101
