family,L,unit,n_days,fraction
zinb_relu,8,h7,540,0.2833
zinb_relu,9,h0,1028,0.5393
zinb_relu,9,h1,38,0.0199
zinb_relu,9,h2,646,0.3389
zinb_relu,9,h3,0,0.0
zinb_relu,9,h4,191,0.1002
zinb_relu,9,h5,3,0.0016
zinb_relu,9,h6,0,0.0
zinb_relu,9,h7,0,0.0
zinb_relu,9,h8,0,0.0
zinb_sigmoid,4,h0,580,0.3043
zinb_sigmoid,4,h1,579,0.3038
zinb_sigmoid,4,h2,586,0.3075
zinb_sigmoid,4,h3,161,0.0845
zinb_sigmoid,5,h0,357,0.1873
zinb_sigmoid,5,h1,609,0.3195
zinb_sigmoid,5,h2,50,0.0262
zinb_sigmoid,5,h3,511,0.2681
zinb_sigmoid,5,h4,379,0.1988
zinb_sigmoid,6,h0,487,0.2555
zinb_sigmoid,6,h1,222,0.1165
zinb_sigmoid,6,h2,81,0.0425
zinb_sigmoid,6,h3,341,0.1789
zinb_sigmoid,6,h4,375,0.1967
zinb_sigmoid,6,h5,400,0.2099
zinb_sigmoid,7,h0,295,0.1548
zinb_sigmoid,7,h1,323,0.1695
zinb_sigmoid,7,h2,397,0.2083
zinb_sigmoid,7,h3,411,0.2156
zinb_sigmoid,7,h4,221,0.1159
zinb_sigmoid,7,h5,259,0.1359
zinb_sigmoid,7,h6,0,0.0
zinb_sigmoid,8,h0,0,0.0
zinb_sigmoid,8,h1,278,0.1459
zinb_sigmoid,8,h2,270,0.1417
zinb_sigmoid,8,h3,274,0.1438
zinb_sigmoid,8,h4,17,0.0089
zinb_sigmoid,8,h5,975,0.5115
zinb_sigmoid,8,h6,10,0.0052
zinb_sigmoid,8,h7,82,0.043
zinb_softmax,4,h0,571,0.2996
zinb_softmax,4,h1,225,0.118
zinb_softmax,4,h2,680,0.3568
zinb_softmax,4,h3,430,0.2256
zinb_softmax,5,h0,646,0.3389
zinb_softmax,5,h1,517,0.2712
zinb_softmax,5,h2,381,0.1999
zinb_softmax,5,h3,195,0.1023
zinb_softmax,5,h4,167,0.0876
zinb_softmax,6,h0,0,0.0
zinb_softmax,6,h1,168,0.0881
zinb_softmax,6,h2,284,0.149
zinb_softmax,6,h3,325,0.1705
zinb_softmax,6,h4,367,0.1925
zinb_softmax,6,h5,762,0.3998
zinb_softmax,7,h0,0,0.0
zinb_softmax,7,h1,131,0.0687
zinb_softmax,7,h2,582,0.3054
zinb_softmax,7,h3,142,0.0745
zinb_softmax,7,h4,326,0.171
zinb_softmax,7,h5,361,0.1894
zinb_softmax,7,h6,364,0.191
zinb_softmax,8,h0,570,0.2991
zinb_softmax,8,h1,371,0.1946
zinb_softmax,8,h2,174,0.0913
zinb_softmax,8,h3,0,0.0
zinb_softmax,8,h4,164,0.086
zinb_softmax,8,h5,0,0.0
zinb_softmax,8,h6,501,0.2629
zinb_softmax,8,h7,126,0.0661
