date,h0,h1,h2,h3,h4
2021-03-06,0.9999696,0.7926007,1.0,0.9366603,3.4245557e-05
2021-03-07,0.99998856,0.9637925,1.0,0.9573948,2.2663575e-05
2021-03-08,0.996012,0.0017815907,1.0,0.9910981,5.3734726e-07
2021-03-09,0.99994946,0.10319129,1.0,0.9473319,2.1145505e-07
2021-03-10,0.99956757,0.00468248,1.0,0.9551909,1.3052987e-07
2021-03-11,3.5419696e-05,2.9947492e-12,1.0,0.999995,4.589394e-12
2021-03-12,0.9998233,0.32979208,1.0,0.9719386,6.1544216e-07
2021-03-13,0.99036,0.0026451778,1.0,0.99649423,2.150941e-07
2021-03-14,0.10143044,7.549742e-07,1.0,0.9999465,6.873205e-09
2021-03-15,0.16322961,7.151088e-06,1.0,0.9999453,6.2261364e-08
2021-03-16,0.0052168383,1.745965e-07,1.0,0.9999969,1.5154148e-08
2021-03-17,1.6469031e-06,2.0964082e-10,1.0,1.0,2.0538151e-09
2021-03-18,2.4016673e-08,1.1351056e-12,1.0,1.0,1.2131021e-10
2021-03-19,6.2813565e-14,4.396958e-19,1.0,1.0,5.3395504e-13
2021-03-20,1.1409706e-05,2.5235773e-09,1.0,0.9999999,6.974229e-09
2021-03-21,1.8245784e-15,4.757874e-19,1.0,1.0,3.3672798e-12
2021-03-22,3.6483655e-26,4.681315e-30,1.0,1.0,4.4425544e-16
2021-03-23,1.9658828e-30,1.00008525e-35,1.0,1.0,3.5980156e-18
2021-03-24,0.0,0.0,1.0,1.0,7.855254e-25
2021-03-25,0.0,0.0,1.0,1.0,4.1616334e-29
2021-03-26,0.0,0.0,1.0,1.0,2.403752e-27
2021-03-27,0.0,0.0,1.0,1.0,6.1428605e-26
2021-03-28,4.292555e-23,1.01202126e-26,1.0,1.0,1.9885032e-14
2021-03-29,0.0,0.0,1.0,1.0,3.5678993e-29
2021-03-30,0.0,0.0,1.0,1.0,6.9013367e-26
2021-03-31,0.0,0.0,1.0,1.0,1.3173505e-24
2021-04-01,3.5631585e-33,0.0,1.0,1.0,2.585181e-21
2021-04-02,4.542497e-16,8.3448095e-29,1.0,1.0,6.770082e-16
2021-04-03,4.013867e-07,2.5664914e-14,1.0,0.9999999,1.7502702e-12
2021-04-04,1.9673219e-09,3.9137614e-21,1.0,0.9999999,2.2662525e-13
2021-04-05,7.381605e-11,3.1944985e-23,1.0,1.0,4.056154e-13
2021-04-06,0.16184789,1.6088686e-10,0.99999976,0.998852,1.9910815e-09
2021-04-07,0.006155212,2.4655074e-14,1.0,0.9998159,4.830516e-11
2021-04-08,0.015005104,6.5886587e-14,0.9999999,0.9997229,2.3275505e-11
2021-04-09,0.0025257908,2.2892126e-17,0.9999988,0.99965453,3.6061926e-10
2021-04-10,0.01678398,4.1159832e-17,1.0,0.9996873,3.857128e-10
2021-04-11,0.002835942,3.6403863e-18,1.0,0.9999881,1.5745329e-11
2021-04-12,0.9999993,7.4348914e-05,0.998135,0.02691263,5.693655e-09
2021-04-13,0.99995315,9.45142e-10,0.9999354,0.49831963,1.0103661e-08
2021-04-14,0.9999963,1.4919234e-08,0.9985643,0.13079296,5.7078367e-08
2021-04-15,0.99999964,1.7958417e-06,0.9955485,0.019204509,4.526014e-08
2021-04-16,1.0,3.7077465e-05,0.98877,0.0044959374,1.393188e-07
2021-04-17,1.0,0.0016381348,0.9081092,0.0010994651,1.1578277e-07
2021-04-18,1.0,0.00055233046,0.8711999,0.0007549328,2.745015e-07
2021-04-19,1.0,0.0005906423,0.77305275,0.0005795361,4.5690444e-07
2021-04-20,1.0,0.00012528816,0.9778625,0.0014501205,1.0724175e-06
2021-04-21,1.0,0.0402909,0.9931585,5.9159665e-05,2.8728447e-05
2021-04-22,1.0,0.17217702,0.99968565,6.578825e-05,5.1696614e-05
2021-04-23,1.0,0.0002113448,0.95278156,0.0005310428,1.6460865e-05
2021-04-24,1.0,0.3198508,0.99928766,2.7297192e-05,4.5614895e-05
2021-04-25,1.0,0.17457525,0.9999263,4.6920024e-05,5.285274e-05
2021-04-26,1.0,0.004733868,0.99958307,0.00035173292,2.0266705e-05
2021-04-27,1.0,0.33587098,0.99998593,4.637788e-05,3.9429615e-05
2021-04-28,1.0,0.10092958,0.99999857,0.000116928924,1.821107e-05
2021-04-29,1.0,0.09328443,0.999998,0.00022005237,1.971178e-05
2021-04-30,1.0,0.030559326,0.9999721,0.0003486701,1.4482316e-05
2021-05-01,1.0,0.016867151,0.9999958,0.00074858277,1.2666588e-05
2021-05-02,1.0,0.1211284,0.99999547,0.00028736732,1.836267e-05
2021-05-03,1.0,0.034559604,0.9999993,0.00032612905,9.901222e-06
2021-05-05,1.0,0.29186803,0.99999714,0.0002314802,1.258351e-05
2021-05-06,1.0,0.17741957,0.99999833,0.00035960873,1.1874058e-05
2021-05-07,1.0,0.1751135,0.9999981,0.00021270837,1.1509449e-05
2021-05-08,1.0,0.025928004,0.99999976,0.00045934442,3.208591e-06
2021-05-09,1.0,0.01765862,0.99999976,0.00037551965,8.919735e-06
2021-05-10,1.0,0.5589922,0.999998,6.708002e-05,1.9753314e-05
2021-05-11,1.0,0.13580209,0.9999982,0.0002961146,1.0705194e-05
2021-05-12,1.0,0.37525964,0.99999404,9.225102e-05,1.7007613e-05
2021-05-15,1.0,0.95795226,0.9999857,3.1878004e-05,1.4451951e-05
2021-05-16,1.0,0.91841936,0.99999046,7.204313e-05,1.3262338e-05
2021-05-17,1.0,0.9922464,0.9999906,5.6561224e-05,6.1532405e-06
2021-05-18,1.0,0.9732487,0.99999726,0.00012162397,5.2627183e-06
2021-05-19,1.0,0.9482484,0.99999726,0.00011352044,6.4510295e-06
2021-05-20,1.0,0.92322767,0.9999906,0.00012633295,1.7853105e-05
2021-05-21,1.0,0.9354415,0.99997187,0.00013380325,2.2459477e-05
2021-05-22,1.0,0.9691235,0.99936706,0.00022559114,0.0001253803
2021-05-23,1.0,0.863516,0.97839725,0.00029577094,0.0081633115
2021-05-24,1.0,0.042011317,0.108925976,0.0031044732,0.77455693
2021-05-25,1.0,0.05137118,5.0244053e-05,0.0057599954,0.9968119
2021-05-26,1.0,0.0002403755,2.178845e-12,0.046806287,1.0
2021-05-27,1.0,4.792469e-10,2.413035e-24,0.9816558,1.0
2021-05-28,1.0,1.8458697e-20,0.0,0.9999999,1.0
2021-05-29,1.0,9.237417e-31,0.0,1.0,1.0
2021-05-30,1.0,5.436906e-31,0.0,1.0,1.0
2021-05-31,1.0,7.822017e-29,0.0,1.0,1.0
2021-06-01,1.0,5.73848e-26,0.0,1.0,1.0
2021-06-02,1.0,2.2566642e-24,0.0,1.0,8.05517e-05
2021-06-03,1.0,2.4523368e-30,0.0,1.0,4.4878436e-17
2021-06-04,1.0,1.4421369e-32,0.0,1.0,1.8244014e-18
2021-06-05,1.0,1.753288e-30,0.0,1.0,1.5883967e-18
2021-06-07,1.0,1.5353477e-22,0.0,1.0,3.4742829e-15
2021-06-08,1.0,1.9703852e-10,8.249912e-38,1.0,6.110265e-09
2021-06-09,1.0,1.0092291e-13,0.0,1.0,6.2297265e-11
